County,State Long,Annual Establishments,Annual Average Employment,Total Annual Wages,Annual Average Weekly Wage,Annual Wages per Employee,Annual Average Employment Location Quotient,Total Annual Wages Location Quotient,State
Camden County, Georgia,884,14177,608208753,825,42900,1,1,GA
Candler County, Georgia,222,3016,87925025,561,29156,1,1,GA
Carroll County, Georgia,2126,40785,1797264599,847,44067,1,1,GA
Catoosa County, Georgia,947,15218,520467861,658,34202,1,1,GA
Charlton County, Georgia,161,1920,68590381,687,35716,1,1,GA
Chatham County, Georgia,8022,155455,7420328133,918,47733,1,1,GA
Chattahoochee County, Georgia,106,2371,111593684,905,47063,1,1,GA
Chattooga County, Georgia,324,6252,213261426,656,34110,1,1,GA
Cherokee County, Georgia,5711,61267,2524238986,792,41201,1,1,GA
Clarke County, Georgia,3152,70954,3220418138,873,45387,1,1,GA
Clay County, Georgia,60,503,15739075,602,31280,1,1,GA
Clayton County, Georgia,3988,121947,7050827908,1112,57819,1,1,GA
Clinch County, Georgia,174,2221,78597372,680,35386,1,1,GA
Cobb County, Georgia,21771,364526,21472617684,1133,58906,1,1,GA
Coffee County, Georgia,912,17521,614775323,675,35089,1,1,GA
Colquitt County, Georgia,998,14688,507042296,664,34522,1,1,GA
Columbia County, Georgia,2520,34374,1336099832,747,38869,1,1,GA
Cook County, Georgia,351,4325,138191609,614,31949,1,1,GA
Coweta County, Georgia,2603,39697,1644054328,796,41415,1,1,GA
Crawford County, Georgia,130,1341,43370881,622,32344,1,1,GA
Crisp County, Georgia,563,8156,295254457,696,36201,1,1,GA
Dade County, Georgia,246,3870,141404778,703,36539,1,1,GA
Dawson County, Georgia,694,9274,286955237,595,30941,1,1,GA
Decatur County, Georgia,642,8669,292758954,649,33772,1,1,GA
DeKalb County, Georgia,17682,300950,17234406599,1101,57267,1,1,GA
Dodge County, Georgia,330,5067,166019960,630,32768,1,1,GA
Dooly County, Georgia,192,3729,132833772,685,35624,1,1,GA
Dougherty County, Georgia,2296,47747,2030403528,818,42525,1,1,GA
Douglas County, Georgia,2625,44412,1752268536,759,39455,1,1,GA
Early County, Georgia,259,4406,194209299,848,44083,1,1,GA
Echols County, Georgia,50,668,25891852,745,38741,1,1,GA
Effingham County, Georgia,778,10530,487865990,891,46330,1,1,GA
Elbert County, Georgia,473,5722,200102666,672,34968,1,1,GA
Emanuel County, Georgia,421,6503,223198700,660,34323,1,1,GA
Evans County, Georgia,241,4446,144865889,627,32582,1,1,GA
Fannin County, Georgia,623,6545,219401988,645,33521,1,1,GA
Fayette County, Georgia,3565,44470,2007846366,868,45151,1,1,GA
Floyd County, Georgia,1980,39447,1670012203,814,42335,1,1,GA
Forsyth County, Georgia,5884,75300,3751274342,958,49817,1,1,GA
Franklin County, Georgia,459,7874,287565967,702,36519,1,1,GA
Fulton County, Georgia,43196,874824,66762531480,1468,76315,1,1,GA
Gilmer County, Georgia,579,6870,217273501,608,31625,1,1,GA
Glascock County, Georgia,38,417,11072070,511,26552,1,1,GA
Glynn County, Georgia,2652,38753,1688203132,838,43564,1,1,GA
Gordon County, Georgia,1026,22632,926826662,788,40952,1,1,GA
Grady County, Georgia,467,5991,219277098,704,36599,1,1,GA
Greene County, Georgia,478,6306,240098445,732,38077,1,1,GA
Gwinnett County, Georgia,24888,353969,18782886607,1020,53064,1,1,GA
Habersham County, Georgia,869,14555,539293189,713,37053,1,1,GA
Hall County, Georgia,4429,88272,4198311713,915,47561,1,1,GA
Hancock County, Georgia,75,1508,54229025,692,35965,1,1,GA
Haralson County, Georgia,481,6820,289043232,815,42383,1,1,GA
Harris County, Georgia,447,5229,160990495,592,30786,1,1,GA
Hart County, Georgia,420,6861,254814391,714,37138,1,1,GA
Heard County, Georgia,146,2029,94061688,891,46351,1,1,GA
Henry County, Georgia,3848,61081,2355475564,742,38563,1,1,GA
Houston County, Georgia,2646,60910,2773648333,876,45537,1,1,GA
Irwin County, Georgia,146,1966,67273595,658,34213,1,1,GA
Jackson County, Georgia,1427,27667,1085967629,755,39252,1,1,GA
Jasper County, Georgia,184,2269,74954423,635,33041,1,1,GA
Jeff Davis County, Georgia,237,4185,145122898,667,34673,1,1,GA
Jefferson County, Georgia,364,4847,183633884,729,37884,1,1,GA
Jenkins County, Georgia,121,1355,43125247,612,31831,1,1,GA
Johnson County, Georgia,136,1569,46917180,575,29906,1,1,GA
Jones County, Georgia,346,4038,146868365,699,36372,1,1,GA
Lamar County, Georgia,254,3473,127837956,708,36805,1,1,GA
Lanier County, Georgia,111,1437,45105441,604,31387,1,1,GA
Laurens County, Georgia,1050,18731,739396433,759,39474,1,1,GA
Lee County, Georgia,459,6392,226235988,681,35392,1,1,GA
Liberty County, Georgia,869,18751,770814549,791,41109,1,1,GA
Lincoln County, Georgia,148,1287,40096410,599,31163,1,1,GA
Long County, Georgia,67,1011,31524841,600,31197,1,1,GA
Lowndes County, Georgia,2821,49237,1849857570,723,37570,1,1,GA
Lumpkin County, Georgia,524,7431,269316893,697,36245,1,1,GA
McDuffie County, Georgia,431,6852,239887550,673,35010,1,1,GA
McIntosh County, Georgia,198,1778,55551828,601,31248,1,1,GA
Macon County, Georgia,196,2765,112573547,783,40717,1,1,GA
Madison County, Georgia,362,3248,110360480,653,33980,1,1,GA
Marion County, Georgia,93,1063,34264371,620,32226,1,1,GA
Meriwether County, Georgia,340,4744,176859995,717,37281,1,1,GA
Miller County, Georgia,165,1727,60419012,673,34988,1,1,GA
Mitchell County, Georgia,441,6644,221164325,640,33289,1,1,GA
Monroe County, Georgia,525,7732,313569071,780,40553,1,1,GA
Montgomery County, Georgia,134,1582,49632068,603,31381,1,1,GA
Morgan County, Georgia,509,7167,259696376,697,36233,1,1,GA
Murray County, Georgia,436,9010,326772767,697,36270,1,1,GA
Muscogee County, Georgia,4520,93994,4181281420,855,44484,1,1,GA
Newton County, Georgia,1561,25342,1083595657,822,42758,1,1,GA
Oconee County, Georgia,1093,12920,524292537,780,40580,1,1,GA
Oglethorpe County, Georgia,198,1655,55819731,649,33728,1,1,GA
Paulding County, Georgia,2066,23937,879237708,706,36732,1,1,GA
Peach County, Georgia,523,9705,374431921,742,38581,1,1,GA
Pickens County, Georgia,726,7911,360540867,876,45573,1,1,GA
Pierce County, Georgia,353,4064,141505394,670,34816,1,1,GA
Pike County, Georgia,266,2996,104084732,668,34744,1,1,GA
Polk County, Georgia,627,11215,429815191,737,38325,1,1,GA
Pulaski County, Georgia,202,2779,112661705,780,40546,1,1,GA
Putnam County, Georgia,455,5718,193604656,651,33858,1,1,GA
Quitman County, Georgia,37,370,12224974,635,33040,1,1,GA
Rabun County, Georgia,479,5186,160182403,594,30886,1,1,GA
Randolph County, Georgia,159,1858,61789793,640,33258,1,1,GA
Richmond County, Georgia,4422,105362,4801459740,876,45571,1,1,GA
Rockdale County, Georgia,1960,32454,1508581664,894,46484,1,1,GA
Schley County, Georgia,58,984,35681424,697,36262,1,1,GA
Screven County, Georgia,245,3346,113460021,652,33912,1,1,GA
Seminole County, Georgia,213,2238,79777977,685,35644,1,1,GA
Spalding County, Georgia,1186,22327,828844751,714,37123,1,1,GA
Stephens County, Georgia,554,9105,352506033,745,38716,1,1,GA
Stewart County, Georgia,88,1339,57411418,825,42876,1,1,GA
Sumter County, Georgia,661,10817,408829706,727,37796,1,1,GA
Talbot County, Georgia,85,781,26557323,654,34004,1,1,GA
Taliaferro County, Georgia,25,210,6058992,555,28864,1,1,GA
Tattnall County, Georgia,333,5873,208437887,683,35493,1,1,GA
Taylor County, Georgia,146,1588,58552720,709,36872,1,1,GA
Telfair County, Georgia,214,3009,95020157,607,31582,1,1,GA
Terrell County, Georgia,205,2194,72196875,633,32913,1,1,GA
Thomas County, Georgia,1409,20228,854203042,812,42229,1,1,GA
Tift County, Georgia,1066,20029,770398823,740,38464,1,1,GA
Toombs County, Georgia,679,11856,408402563,662,34446,1,1,GA
Towns County, Georgia,282,3314,110155185,639,33243,1,1,GA
Treutlen County, Georgia,94,1069,33533403,603,31379,1,1,GA
Troup County, Georgia,1516,39063,1718369228,846,43989,1,1,GA
Turner County, Georgia,172,1943,61847445,612,31834,1,1,GA
Twiggs County, Georgia,102,2635,96644079,705,36672,1,1,GA
Union County, Georgia,570,6784,253681178,719,37393,1,1,GA
Upson County, Georgia,452,6650,243239904,703,36580,1,1,GA
Walker County, Georgia,717,13175,458744163,670,34821,1,1,GA
Walton County, Georgia,1723,23390,1004241466,826,42934,1,1,GA
Ware County, Georgia,887,15680,541028434,664,34504,1,1,GA
Warren County, Georgia,92,1527,64350657,811,42149,1,1,GA
Washington County, Georgia,376,6492,246507869,730,37972,1,1,GA
Wayne County, Georgia,565,7990,324633017,781,40632,1,1,GA
Webster County, Georgia,37,481,20503636,820,42657,1,1,GA
Wheeler County, Georgia,75,1101,37068863,648,33671,1,1,GA
White County, Georgia,656,8823,280339657,611,31774,1,1,GA
Whitfield County, Georgia,2250,56491,2466519754,840,43662,1,1,GA
Wilcox County, Georgia,106,1075,32502757,582,30247,1,1,GA
Wilkes County, Georgia,233,2873,98802142,661,34396,1,1,GA
Wilkinson County, Georgia,164,3540,145859948,792,41200,1,1,GA
Worth County, Georgia,288,3209,110970196,665,34585,1,1,GA
Unknown Or Undefined, Georgia,32133,135580,10628677894,1508,78394,1,1,GA
Hawaii County, Hawaii,5515,71039,3138048017,849,44174,1,1,HI
Honolulu County, Hawaii,26081,474404,25190364401,1021,53099,1,1,HI
Kauai County, Hawaii,2734,32548,1494366945,883,45912,1,1,HI
Maui + Kalawao County, Hawaii,6264,78012,3582794955,883,45926,1,1,HI
Unknown Or Undefined, Hawaii,1827,1951,136460127,1345,69941,1,1,HI
Ada County, Idaho,16446,244853,12348670102,970,50433,1,1,ID
Adams County, Idaho,183,1022,37996474,715,37169,1,1,ID
Bannock County, Idaho,2350,33822,1247955391,710,36898,1,1,ID
Bear Lake County, Idaho,229,1635,47642284,561,29146,1,1,ID
Benewah County, Idaho,346,3457,139853617,778,40457,1,1,ID
Bingham County, Idaho,1116,15237,541771029,684,35557,1,1,ID
Blaine County, Idaho,1652,13034,557917872,823,42806,1,1,ID
Boise County, Idaho,201,1631,46323259,546,28406,1,1,ID
Bonner County, Idaho,1729,14206,516196283,699,36336,1,1,ID
Bonneville County, Idaho,3954,51808,2001385373,743,38631,1,1,ID
Boundary County, Idaho,475,3648,135618482,715,37175,1,1,ID
Butte County, Idaho,141,7981,737108310,1776,92354,1,1,ID
Camas County, Idaho,63,363,18998395,1005,52277,1,1,ID
Canyon County, Idaho,5263,67959,2504702715,709,36856,1,1,ID
Caribou County, Idaho,297,3309,180308296,1048,54483,1,1,ID
Cassia County, Idaho,919,11083,407102797,706,36734,1,1,ID
Clark County, Idaho,49,440,18895221,826,42936,1,1,ID
Clearwater County, Idaho,310,2618,97593336,717,37284,1,1,ID
Custer County, Idaho,251,1492,47406998,611,31785,1,1,ID
Elmore County, Idaho,622,7085,243587694,661,34379,1,1,ID
Franklin County, Idaho,420,3615,108644347,578,30057,1,1,ID
Fremont County, Idaho,397,3017,104734953,668,34714,1,1,ID
Gem County, Idaho,486,3696,123075057,640,33297,1,1,ID
Gooding County, Idaho,549,6086,222449727,703,36549,1,1,ID
Idaho County, Idaho,576,4269,154257989,695,36133,1,1,ID
Jefferson County, Idaho,703,6856,225786255,633,32932,1,1,ID
Jerome County, Idaho,707,10363,395027084,733,38118,1,1,ID
Kootenai County, Idaho,5454,62242,2455843031,759,39456,1,1,ID
Latah County, Idaho,1103,13813,514939242,717,37280,1,1,ID
Lemhi County, Idaho,384,2515,86907060,664,34552,1,1,ID
Lewis County, Idaho,210,1644,52670518,616,32033,1,1,ID
Lincoln County, Idaho,164,1691,61225557,696,36207,1,1,ID
Madison County, Idaho,1034,15635,481713242,592,30809,1,1,ID
Minidoka County, Idaho,612,8017,304144009,730,37936,1,1,ID
Nez Perce County, Idaho,1242,21001,874195782,800,41626,1,1,ID
Oneida County, Idaho,145,1267,34649678,526,27350,1,1,ID
Owyhee County, Idaho,294,3154,110633869,675,35079,1,1,ID
Payette County, Idaho,622,6366,229475537,693,36047,1,1,ID
Power County, Idaho,241,3412,143353025,808,42012,1,1,ID
Shoshone County, Idaho,417,4502,171965840,735,38199,1,1,ID
Teton County, Idaho,560,3384,122123109,694,36094,1,1,ID
Twin Falls County, Idaho,2936,39273,1402437259,687,35710,1,1,ID
Valley County, Idaho,651,4749,171529221,695,36116,1,1,ID
Washington County, Idaho,281,2771,92871536,644,33510,1,1,ID
Unknown Or Undefined, Idaho,6750,10794,812686404,1448,75289,1,1,ID
Adams County, Illinois,1738,33305,1400824692,809,42061,1,1,IL
Alexander County, Illinois,98,1149,43280449,724,37673,1,1,IL
Bond County, Illinois,306,4646,192147701,795,41357,1,1,IL
Boone County, Illinois,851,19081,938848778,946,49204,1,1,IL
Brown County, Illinois,121,4220,193750705,883,45909,1,1,IL
Bureau County, Illinois,788,11872,483456993,783,40722,1,1,IL
Calhoun County, Illinois,98,780,20313516,501,26051,1,1,IL
Carroll County, Illinois,414,3847,135381016,677,35191,1,1,IL
Cass County, Illinois,279,5514,197738103,690,35859,1,1,IL
Champaign County, Illinois,4078,90398,4337814333,923,47986,1,1,IL
Christian County, Illinois,693,10028,374301354,718,37327,1,1,IL
Clark County, Illinois,323,4596,171234211,716,37257,1,1,IL
Clay County, Illinois,361,5314,202943348,734,38192,1,1,IL
Clinton County, Illinois,878,12264,456389657,716,37215,1,1,IL
Coles County, Illinois,1063,23788,912247680,737,38349,1,1,IL
Cook County, Illinois,137537,2592082,1.74438E+11,1294,67296,1,1,IL
Crawford County, Illinois,416,7008,350370072,961,49996,1,1,IL
Cumberland County, Illinois,204,2769,91964245,639,33217,1,1,IL
DeKalb County, Illinois,2020,37977,1656579098,839,43621,1,1,IL
DeWitt County, Illinois,381,5073,258835760,981,51027,1,1,IL
Douglas County, Illinois,589,7412,289393608,751,39046,1,1,IL
DuPage County, Illinois,34363,616471,39551374464,1234,64158,1,1,IL
Edgar County, Illinois,371,7033,296036944,809,42092,1,1,IL
Edwards County, Illinois,153,2210,89810898,781,40634,1,1,IL
Effingham County, Illinois,1193,21985,870841455,762,39610,1,1,IL
Fayette County, Illinois,473,5355,178866282,642,33400,1,1,IL
Ford County, Illinois,349,4637,194358649,806,41919,1,1,IL
Franklin County, Illinois,744,9036,336628097,716,37254,1,1,IL
Fulton County, Illinois,667,8119,278659295,660,34322,1,1,IL
Gallatin County, Illinois,128,1201,54482386,872,45364,1,1,IL
Greene County, Illinois,236,2340,73303609,603,31333,1,1,IL
Grundy County, Illinois,1160,19706,1087149635,1061,55170,1,1,IL
Hamilton County, Illinois,205,2044,87169629,820,42640,1,1,IL
Hancock County, Illinois,410,4110,144078570,674,35055,1,1,IL
Hardin County, Illinois,62,654,20103087,591,30731,1,1,IL
Henderson County, Illinois,136,1072,30630056,549,28571,1,1,IL
Henry County, Illinois,1009,13763,529664500,740,38486,1,1,IL
Iroquois County, Illinois,739,7796,268905392,663,34493,1,1,IL
Jackson County, Illinois,1190,24724,1140285688,887,46120,1,1,IL
Jasper County, Illinois,238,2027,77425719,734,38189,1,1,IL
Jefferson County, Illinois,887,20039,843629302,810,42099,1,1,IL
Jersey County, Illinois,404,5096,171544698,647,33666,1,1,IL
Jo Daviess County, Illinois,728,7288,256551369,677,35204,1,1,IL
Johnson County, Illinois,181,2217,99859847,866,45036,1,1,IL
Kane County, Illinois,12492,212834,10506063004,949,49363,1,1,IL
Kankakee County, Illinois,2251,44630,1898289248,818,42534,1,1,IL
Kendall County, Illinois,2136,28579,1204484934,810,42145,1,1,IL
Knox County, Illinois,1029,17748,630935649,684,35549,1,1,IL
Lake County, Illinois,20135,338239,25527410021,1451,75472,1,1,IL
LaSalle County, Illinois,2535,42401,1926544373,874,45437,1,1,IL
Lawrence County, Illinois,261,4548,184573000,780,40580,1,1,IL
Lee County, Illinois,700,13152,593601963,868,45133,1,1,IL
Livingston County, Illinois,863,13547,606772461,861,44791,1,1,IL
Logan County, Illinois,568,9180,382976243,802,41717,1,1,IL
McDonough County, Illinois,603,10766,427565824,764,39714,1,1,IL
McHenry County, Illinois,7798,97617,4415979570,870,45238,1,1,IL
McLean County, Illinois,3362,82755,4364070503,1014,52735,1,1,IL
Macon County, Illinois,2180,49595,2562726691,994,51673,1,1,IL
Macoupin County, Illinois,887,10456,376467843,692,36006,1,1,IL
Madison County, Illinois,5386,100779,4402967898,840,43690,1,1,IL
Marion County, Illinois,830,12727,489859149,740,38491,1,1,IL
Marshall County, Illinois,262,2849,104348324,704,36623,1,1,IL
Mason County, Illinois,312,3007,104480944,668,34743,1,1,IL
Massac County, Illinois,208,3063,134981417,848,44076,1,1,IL
Menard County, Illinois,217,1719,54579937,611,31749,1,1,IL
Mercer County, Illinois,288,3140,104362387,639,33238,1,1,IL
Monroe County, Illinois,766,8810,309936140,677,35182,1,1,IL
Montgomery County, Illinois,697,8719,334500683,738,38364,1,1,IL
Morgan County, Illinois,752,13924,566606499,783,40694,1,1,IL
Moultrie County, Illinois,345,5082,201109288,761,39575,1,1,IL
Ogle County, Illinois,1026,15723,713342683,873,45370,1,1,IL
Peoria County, Illinois,4185,105601,6376764800,1161,60386,1,1,IL
Perry County, Illinois,349,4686,178077911,731,38002,1,1,IL
Piatt County, Illinois,362,3584,126046684,676,35165,1,1,IL
Pike County, Illinois,416,4042,139003906,661,34391,1,1,IL
Pope County, Illinois,53,527,16533654,604,31388,1,1,IL
Pulaski County, Illinois,110,1702,78841150,891,46314,1,1,IL
Putnam County, Illinois,162,1835,83809422,878,45679,1,1,IL
Randolph County, Illinois,612,12157,493765681,781,40617,1,1,IL
Richland County, Illinois,421,5992,218054023,700,36389,1,1,IL
Rock Island County, Illinois,2928,74116,4166774004,1081,56220,1,1,IL
St. Clair County, Illinois,5060,92373,3985908523,830,43150,1,1,IL
Saline County, Illinois,522,7829,275383478,676,35175,1,1,IL
Sangamon County, Illinois,4816,129882,7055863896,1045,54325,1,1,IL
Schuyler County, Illinois,152,1554,61079354,756,39315,1,1,IL
Scott County, Illinois,91,972,35545797,704,36582,1,1,IL
Shelby County, Illinois,451,5217,189472671,698,36319,1,1,IL
Stark County, Illinois,133,1361,51046509,721,37504,1,1,IL
Stephenson County, Illinois,1040,17557,749576960,821,42693,1,1,IL
Tazewell County, Illinois,2620,48202,2228911945,889,46241,1,1,IL
Union County, Illinois,336,4965,172334806,668,34711,1,1,IL
Vermilion County, Illinois,1362,26485,1130149136,821,42671,1,1,IL
Wabash County, Illinois,276,3289,127400821,745,38737,1,1,IL
Warren County, Illinois,376,6551,238498385,700,36408,1,1,IL
Washington County, Illinois,403,6844,323134621,908,47215,1,1,IL
Wayne County, Illinois,383,3708,119148182,618,32133,1,1,IL
White County, Illinois,368,4321,157294504,700,36400,1,1,IL
Whiteside County, Illinois,1223,21027,823481450,753,39164,1,1,IL
Will County, Illinois,14680,245186,11668767938,915,47591,1,1,IL
Williamson County, Illinois,1377,27895,1095291800,755,39264,1,1,IL
Winnebago County, Illinois,5940,126580,6069256659,922,47948,1,1,IL
Woodford County, Illinois,747,9659,391103303,779,40489,1,1,IL
Unknown Or Undefined, Illinois,48033,137399,12135071997,1698,88320,1,1,IL
Adams County, Indiana,705,13881,528183235,732,38051,1,1,IN
Allen County, Indiana,8875,188040,8690262614,889,46215,1,1,IN
Bartholomew County, Indiana,1927,51196,2862455813,1075,55912,1,1,IN
Benton County, Indiana,221,2453,97586009,765,39781,1,1,IN
Blackford County, Indiana,233,3321,122363459,708,36842,1,1,IN
Boone County, Indiana,1788,29627,1294453051,840,43692,1,1,IN
Brown County, Indiana,319,2937,79307071,519,27005,1,1,IN
Carroll County, Indiana,388,5328,198183991,715,37196,1,1,IN
Cass County, Indiana,704,14837,548934434,711,36997,1,1,IN
Clark County, Indiana,2530,53563,2205132466,792,41169,1,1,IN
Clay County, Indiana,497,7806,269122493,663,34477,1,1,IN
Clinton County, Indiana,594,10961,446775421,784,40762,1,1,IN
